0,a
1,about
2,above
3,after
4,again
5,against
6,ain
7,all
8,am
9,an
10,and
11,any
12,are
13,aren
14,aren$#39t
15,as
16,at
17,be
18,because
19,been
20,before
21,being
22,below
23,between
24,both
25,but
26,by
27,can
28,couldn
29,couldn$#39t
30,d
31,did
32,didn
33,didn$#39t
34,do
35,does
36,doesn
37,doesn$#39t
38,doing
39,don
40,don$#39t
41,down
42,during
43,each
44,few
45,for
46,from
47,further
48,had
49,hadn
50,hadn$#39t
51,has
52,hasn
53,hasn$#39t
54,have
55,haven
56,haven$#39t
57,having
58,he
59,he$#39d
60,he$#39ll
61,her
62,here
63,hers
64,herself
65,he$#39s
66,him
67,himself
68,his
69,how
70,i
71,i$#39d
72,if
73,i$#39ll
74,i$#39m
75,in
76,into
77,is
78,isn
79,isn$#39t
80,it
81,it$#39d
82,it$#39ll
83,it$#39s
84,its
85,itself
86,i$#39ve
87,just
88,ll
89,m
90,ma
91,me
92,mightn
93,mightn$#39t
94,more
95,most
96,mustn
97,mustn$#39t
98,my
99,myself
100,needn
101,needn$#39t
102,no
103,nor
104,not
105,now
106,o
107,of
108,off
109,on
110,once
111,only
112,or
113,other
114,our
115,ours
116,ourselves
117,out
118,over
119,own
120,re
121,s
122,same
123,shan
124,shan$#39t
125,she
126,she$#39d
127,she$#39ll
128,she$#39s
129,should
130,shouldn
131,shouldn$#39t
132,should$#39ve
133,so
134,some
135,such
136,t
137,than
138,that
139,that$#39ll
140,the
141,their
142,theirs
143,them
144,themselves
145,then
146,there
147,these
148,they
149,they$#39d
150,they$#39ll
151,they$#39re
152,they$#39ve
153,this
154,those
155,through
156,to
157,too
158,under
159,until
160,up
161,ve
162,very
163,was
164,wasn
165,wasn$#39t
166,we
167,we$#39d
168,we$#39ll
169,we$#39re
170,were
171,weren
172,weren$#39t
173,we$#39ve
174,what
175,when
176,where
177,which
178,while
179,who
180,whom
181,why
182,will
183,with
184,won
185,won$#39t
186,wouldn
187,wouldn$#39t
188,y
189,you
190,you$#39d
191,you$#39ll
192,your
193,you$#39re
194,yours
195,yourself
196,yourselves
197,you$#39ve
